roaming_partner_key,partner_name,country,region,agreement_type,effective_date,data_rate_per_mb,voice_rate_per_min,status
72,Netherlands Mobile Delta,Netherlands,EU,MVNO,2015-08-02,0,0,Active
73,Hong Kong Mobile Delta,Hong Kong,International,Hub,2017-07-30,0.296,0.55,Active
74,South Africa Mobile Alpha,South Africa,International,Hub,2015-07-02,0.063,0.565,Active
75,Denmark Mobile Alpha,Denmark,EU,Bilateral,2018-02-25,0,0,Active
76,Austria Mobile Beta,Austria,EU,Bilateral,2015-07-05,0,0,Active
77,China Mobile Beta,China,International,Hub,2015-07-29,0.261,0.426,Active
78,Canada Mobile Omega,Canada,International,Bilateral,2021-07-19,0.427,0.29,Active
79,Denmark Mobile Beta,Denmark,EU,MVNO,2020-08-12,0,0,Active
80,Sweden Mobile Delta,Sweden,EU,Bilateral,2018-04-22,0,0,Active
81,Australia Mobile Alpha,Australia,International,Hub,2017-11-10,0.259,0.713,Active
82,South Africa Mobile Alpha,South Africa,International,MVNO,2018-01-02,0.46,0.75,Active
83,France Mobile Beta,France,EU,Hub,2018-12-08,0,0,Active
84,Hungary Mobile Alpha,Hungary,EU,Hub,2020-12-07,0,0,Active
85,Belgium Mobile Gamma,Belgium,EU,Bilateral,2023-01-14,0,0,Active
86,Poland Mobile Beta,Poland,EU,Bilateral,2021-03-01,0,0,Active
87,Ireland Mobile Alpha,Ireland,EU,MVNO,2015-05-02,0,0,Active
88,Denmark Mobile Alpha,Denmark,EU,MVNO,2017-02-10,0,0,Active
89,Czech Republic Mobile Gamma,Czech Republic,EU,Bilateral,2016-10-17,0,0,Active
90,Czech Republic Mobile Delta,Czech Republic,EU,Hub,2022-05-29,0,0,Active
91,USA Mobile Alpha,USA,International,MVNO,2021-05-05,0.032,0.084,Active
92,Hong Kong Mobile Gamma,Hong Kong,International,MVNO,2019-08-24,0.284,0.087,Active
93,Brazil Mobile Alpha,Brazil,International,MVNO,2020-11-19,0.167,0.379,Active
94,Germany Mobile Omega,Germany,EU,Hub,2022-12-24,0,0,Active
95,Netherlands Mobile Beta,Netherlands,EU,Hub,2017-05-28,0,0,Active
96,Canada Mobile Beta,Canada,International,Hub,2015-08-12,0.087,0.699,Active
97,Brazil Mobile Beta,Brazil,International,Bilateral,2023-01-19,0.015,0.654,Active
98,Poland Mobile Delta,Poland,EU,Bilateral,2016-12-10,0,0,Active
99,Greece Mobile Gamma,Greece,EU,MVNO,2021-09-19,0,0,Active
100,Spain Mobile Delta,Spain,EU,Bilateral,2015-02-14,0,0,Active
