app_id,app_name,category,vendor,version,criticality,owner,support_team,go_live_date,status,users_count,monthly_cost
99,Application 99,Analytics,Oracle,6.3,Critical,Isabella Taylor,IT Support,2015-09-26,Production,255,14462.01
100,Application 100,OSS,Microsoft,4.9,High,Alexander Lewis,IT Support,2017-10-11,Production,558,8822.8
101,Application 101,Analytics,Microsoft,9.6,High,Amelia Jackson,IT Support,2018-04-20,Production,299,16124.88
102,Application 102,BSS,Comverse,1.0,Low,Freya Brown,IT Support,2016-04-27,Production,943,29074.45
103,Application 103,OSS,CSG,1.5,Low,Mia White,IT Support,2016-04-05,Production,448,37672.95
104,Application 104,Collaboration,Amdocs,7.6,Low,Jessica Hughes,IT Support,2018-08-13,Production,475,30647.45
105,Application 105,Customer,Amdocs,5.3,Medium,David Thomas,IT Support,2021-09-21,Production,892,14382.26
106,Application 106,Core,Oracle,5.1,Medium,James Roberts,IT Support,2017-12-08,Production,777,33801.75
107,Application 107,Customer,Comverse,10.5,Medium,Chloe Hughes,IT Support,2021-11-20,Production,199,12490.84
108,Application 108,Collaboration,ServiceNow,7.4,Critical,Ella Cooper,IT Support,2018-09-22,Production,956,39899.46
109,Application 109,Infrastructure,Salesforce,10.3,Medium,Oliver Roberts,IT Support,2022-06-27,Production,936,38991.83
110,Application 110,Core,Comverse,6.9,Low,Sophia Patel,IT Support,2015-11-04,Production,220,3438.94
111,Application 111,BSS,SAP,10.9,High,James Green,IT Support,2022-06-27,Production,940,14107.89
112,Application 112,OSS,ServiceNow,4.2,Medium,Ella Wright,IT Support,2019-07-03,Production,598,39480.08
113,Application 113,Core,Microsoft,2.7,Critical,James Davies,IT Support,2022-06-05,Production,495,3719.15
114,Application 114,Collaboration,Microsoft,7.4,Low,Thomas Smith,IT Support,2017-12-23,Production,739,36964.52
115,Application 115,Customer,Netcracker,4.1,Low,George Smith,IT Support,2019-02-10,Production,20,19900.68
116,Application 116,Security,ServiceNow,10.4,Medium,Jack Taylor,IT Support,2020-10-06,Production,606,13732.52
117,Application 117,Analytics,Amdocs,9.1,Low,Alexander Taylor,IT Support,2017-12-20,Production,95,21530.51
118,Application 118,OSS,CSG,9.1,Low,Charlotte Turner,IT Support,2018-03-28,Production,581,19575.69
119,Application 119,Analytics,Amdocs,6.7,Medium,Evelyn Lewis,IT Support,2024-05-08,Production,923,9907.54
120,Application 120,Analytics,SAP,2.1,Low,Grace Wilson,IT Support,2018-01-18,Production,312,11271.6
121,Application 121,Collaboration,Amdocs,9.4,Low,Sophie Green,IT Support,2020-09-02,Production,452,13796.38
122,Application 122,Analytics,Comverse,8.9,Medium,Ella Thompson,IT Support,2020-05-27,Production,792,17497.47
123,Application 123,Analytics,Netcracker,4.6,Critical,Matthew Taylor,IT Support,2016-08-27,Production,858,44876.23
124,Application 124,OSS,Amdocs,6.5,High,Oscar Davies,IT Support,2020-02-19,Production,124,35226.66
125,Application 125,Security,Comverse,3.4,Low,Amelia Edwards,IT Support,2023-06-22,Production,61,1902.89
126,Application 126,Security,Custom,1.9,Low,Jack Lewis,IT Support,2024-09-28,Production,808,22061.99
127,Application 127,Infrastructure,ServiceNow,1.1,Medium,James Clarke,IT Support,2018-03-29,Production,780,38317.41
128,Application 128,Collaboration,SAP,2.6,Medium,Charlie Harris,IT Support,2015-09-02,Production,759,31729.67
129,Application 129,BSS,SAP,7.7,Low,Lily Turner,IT Support,2022-07-11,Production,211,9463.61
130,Application 130,Infrastructure,Netcracker,10.9,Critical,Emma Thompson,IT Support,2020-03-14,Production,874,10707.54
131,Application 131,Security,Amdocs,10.3,Medium,Ava Turner,IT Support,2018-08-04,Production,691,41441.86
132,Application 132,Security,Comverse,3.7,High,Lily Walker,IT Support,2019-01-20,Production,862,26709.83
133,Application 133,Customer,Netcracker,3.0,Medium,Sophie Turner,IT Support,2024-06-19,Production,635,6439.11
134,Application 134,Infrastructure,CSG,8.4,High,George Wright,IT Support,2023-08-06,Production,650,14350.05
135,Application 135,Customer,ServiceNow,5.2,High,Alexander Roberts,IT Support,2021-08-06,Production,859,47426.95
136,Application 136,Infrastructure,SAP,2.8,Low,Isabella Davies,IT Support,2020-08-15,Production,48,5215.5
137,Application 137,BSS,SAP,10.4,Critical,Henry Robinson,IT Support,2024-01-23,Production,560,29573.39
138,Application 138,OSS,Comverse,7.0,Low,David Jackson,IT Support,2018-10-12,Production,803,23577.77
139,Application 139,Core,Oracle,10.8,Critical,Lucas Clarke,IT Support,2021-07-02,Production,108,39930.68
140,Application 140,Analytics,Salesforce,1.4,Low,Amelia Walker,IT Support,2021-03-23,Production,608,19488.38
141,Application 141,Core,Comverse,5.4,Critical,Mia Jones,IT Support,2024-10-25,Production,110,5722.33
142,Application 142,Customer,ServiceNow,8.0,High,Thomas Harris,IT Support,2024-01-09,Production,890,5827.61
143,Application 143,Collaboration,Salesforce,7.1,Low,Benjamin Wilson,IT Support,2020-10-23,Production,233,14224.79
144,Application 144,Customer,Microsoft,5.4,Low,Ava Williams,IT Support,2024-07-18,Production,295,46089.96
145,Application 145,Core,Oracle,6.8,High,Alice Hughes,IT Support,2023-09-14,Production,67,4185.9
146,Application 146,Collaboration,Netcracker,3.8,Medium,Amelia Thompson,IT Support,2022-01-22,Production,306,27623.4
147,Application 147,Collaboration,Custom,9.1,Low,Charlotte Clarke,IT Support,2015-07-18,Production,925,41904.41
148,Application 148,Infrastructure,ServiceNow,1.7,High,Ella Thomas,IT Support,2017-11-17,Production,930,29085.27
149,Application 149,Analytics,Amdocs,4.3,High,Lily Patel,IT Support,2023-09-06,Production,61,45710.2
150,Application 150,BSS,Amdocs,3.2,Low,Freya Cooper,IT Support,2016-05-22,Production,186,43593.51
151,Application 151,Collaboration,Amdocs,4.9,Low,Alice White,IT Support,2023-01-19,Production,27,25831.74
152,Application 152,BSS,Oracle,10.0,Medium,Harper Lewis,IT Support,2023-05-25,Production,311,41745.99
153,Application 153,OSS,SAP,8.8,Medium,Emily Thompson,IT Support,2017-05-31,Production,395,2914.76
154,Application 154,OSS,Salesforce,7.6,Critical,Emma Clarke,IT Support,2016-04-10,Production,21,5787.75
155,Application 155,Analytics,Amdocs,4.6,Medium,Ava Edwards,IT Support,2017-05-28,Production,215,16468.61
156,Application 156,BSS,Salesforce,4.7,Medium,Freya Walker,IT Support,2019-04-03,Production,608,26626.4
157,Application 157,Core,Comverse,9.9,Critical,David Patel,IT Support,2017-12-27,Production,725,38824.79
158,Application 158,Infrastructure,Netcracker,10.6,Critical,David Martin,IT Support,2024-07-31,Production,612,30355.6
159,Application 159,Security,Oracle,7.2,High,Charlie Jones,IT Support,2019-09-18,Production,440,47067.44
160,Application 160,Security,Amdocs,9.4,High,Henry Hall,IT Support,2022-10-21,Production,161,15391.56
161,Application 161,Collaboration,Custom,6.2,Critical,James Harris,IT Support,2015-11-01,Production,684,27862.33
162,Application 162,Analytics,Custom,4.2,Medium,Charlotte Jackson,IT Support,2024-01-12,Production,942,21342.65
163,Application 163,Infrastructure,Netcracker,2.4,Critical,Henry Lewis,IT Support,2024-01-16,Production,660,27173.91
164,Application 164,Collaboration,Custom,7.9,Low,Oscar Robinson,IT Support,2018-07-23,Production,899,36277.87
165,Application 165,OSS,Comverse,1.1,Low,Ava Green,IT Support,2020-08-20,Production,376,27277.43
166,Application 166,OSS,Amdocs,5.8,High,Emma Hall,IT Support,2016-11-04,Production,223,36539.2
167,Application 167,Analytics,Comverse,3.7,Medium,Harper Davies,IT Support,2017-11-16,Production,645,41184.73
168,Application 168,Analytics,Microsoft,4.0,Medium,Thomas Edwards,IT Support,2019-07-29,Production,630,23547.34
169,Application 169,Security,ServiceNow,8.0,Medium,Lucas White,IT Support,2017-05-20,Production,984,18966.88
170,Application 170,Collaboration,Comverse,6.7,Medium,Leo Roberts,IT Support,2019-08-28,Production,761,9173.01
171,Application 171,OSS,CSG,4.2,Low,Charlie Martin,IT Support,2020-09-29,Production,428,20669.41
172,Application 172,OSS,Comverse,1.0,Medium,Thomas Wilson,IT Support,2023-04-06,Production,654,38649.05
173,Application 173,Infrastructure,Amdocs,9.9,Low,Amelia Jones,IT Support,2020-03-27,Production,264,12183.66
174,Application 174,BSS,Netcracker,2.9,High,Noah Walker,IT Support,2016-11-06,Production,221,39015.02
175,Application 175,BSS,Microsoft,7.0,Critical,Samuel Hughes,IT Support,2018-05-03,Production,375,44094.87
176,Application 176,BSS,Netcracker,1.4,Low,Henry Walker,IT Support,2024-05-25,Production,540,47587.24
177,Application 177,Collaboration,CSG,1.3,High,Sophie White,IT Support,2021-11-25,Production,749,47617.25
178,Application 178,Infrastructure,Custom,6.1,Critical,David Green,IT Support,2022-11-29,Production,127,11096.14
179,Application 179,Core,CSG,6.2,Medium,Lily Cooper,IT Support,2020-12-26,Production,654,37105.86
180,Application 180,Customer,SAP,10.5,High,Chloe Taylor,IT Support,2019-12-30,Production,185,37530.51
181,Application 181,Infrastructure,SAP,5.3,Medium,Benjamin Hughes,IT Support,2017-08-19,Production,519,29851.88
182,Application 182,Collaboration,Amdocs,9.6,Critical,Alexander Davies,IT Support,2018-12-19,Production,388,34789.65
183,Application 183,Core,CSG,4.6,Low,Oliver Harris,IT Support,2024-01-05,Production,310,17931.54
184,Application 184,Customer,Salesforce,5.6,Medium,Daniel Jones,IT Support,2017-01-01,Production,957,37503.62
185,Application 185,Collaboration,Custom,5.2,Low,Harry Brown,IT Support,2016-07-16,Production,680,20092.37
186,Application 186,Infrastructure,Salesforce,1.8,Low,Grace Hughes,IT Support,2020-02-16,Production,591,20405.6
187,Application 187,Collaboration,CSG,10.8,Critical,Charlotte Thomas,IT Support,2021-06-23,Production,75,38387.76
188,Application 188,Customer,CSG,9.9,Low,Henry Robinson,IT Support,2017-04-09,Production,576,1445.71
189,Application 189,Analytics,Custom,4.4,High,Ruby Martin,IT Support,2018-03-25,Production,360,38931.26
190,Application 190,Analytics,Microsoft,9.4,Low,Noah Davies,IT Support,2023-01-18,Production,155,13539.87
191,Application 191,Infrastructure,Oracle,5.0,Low,Alice White,IT Support,2023-02-05,Production,258,33900.34
192,Application 192,Security,Oracle,2.5,High,Freya Roberts,IT Support,2022-11-18,Production,585,33667.65
193,Application 193,Security,SAP,2.9,High,Matthew Roberts,IT Support,2021-04-22,Production,168,32254.06
194,Application 194,OSS,Microsoft,4.5,Critical,George Martin,IT Support,2020-04-11,Production,778,20881.53
195,Application 195,Core,Salesforce,9.0,Critical,James Davies,IT Support,2015-08-10,Production,176,25898.78
196,Application 196,Collaboration,Netcracker,1.2,Critical,Noah Evans,IT Support,2022-04-12,Production,283,3527.99
197,Application 197,Customer,Amdocs,6.2,High,Mia Hall,IT Support,2022-07-13,Production,896,42580.0
198,Application 198,Infrastructure,CSG,1.4,Critical,Chloe Brown,IT Support,2020-01-09,Production,229,37986.7
199,Application 199,Core,ServiceNow,3.2,Critical,Sophia Wood,IT Support,2015-06-06,Production,60,19645.71
200,Application 200,Collaboration,ServiceNow,3.1,High,Charlie Green,IT Support,2018-10-13,Production,58,13235.29
