network_site_key,site_name,site_type,address,city,county,postcode,latitude,longitude,technology,capacity_mbps,coverage_radius_km,status,install_date
37,London Metro Small 4,Small Cell,Leicester Square,London,Greater London,WC2H 7LU,51.5103,-0.1303,5G,300,0.3,Active,2024-04-15
38,Manchester Metro Small 1,Small Cell,Deansgate,Manchester,Greater Manchester,M3 2BW,53.4786,-2.2506,5G,250,0.3,Active,2024-05-01
39,Birmingham Metro Small 1,Small Cell,Bullring,Birmingham,West Midlands,B5 4BP,52.4774,-1.8936,5G,250,0.3,Active,2024-05-15
40,M1 Corridor 1,Motorway,Junction 25,Nottingham,Nottinghamshire,NG9 3GJ,52.9269,-1.2539,4G/5G,400,3.0,Active,2022-11-01
41,M25 Corridor 1,Motorway,Junction 10,Cobham,Surrey,KT11 1AA,51.3247,-0.4078,4G/5G,500,3.5,Active,2022-12-15
42,M6 Corridor 1,Motorway,Junction 6,Birmingham,West Midlands,B24 0QY,52.5167,-1.8167,4G/5G,400,3.0,Active,2023-01-20
43,A1(M) Corridor 1,Motorway,Junction 6,Welwyn,Hertfordshire,AL6 9FY,51.8167,-0.2000,4G/5G,350,3.0,Active,2023-03-01
44,M4 Corridor 1,Motorway,Junction 4,Heathrow,Greater London,TW5 9QB,51.4833,-0.4167,4G/5G,450,3.5,Active,2023-04-15
45,Kings Cross Indoor,Indoor DAS,Kings Cross Station,London,Greater London,N1C 4TB,51.5308,-0.1238,4G/5G,200,0.2,Active,2023-06-01
46,Paddington Indoor,Indoor DAS,Paddington Station,London,Greater London,W2 1HQ,51.5154,-0.1755,4G/5G,200,0.2,Active,2023-07-15
47,Victoria Indoor,Indoor DAS,Victoria Station,London,Greater London,SW1V 1JU,51.4952,-0.1439,4G/5G,200,0.2,Active,2023-08-01
48,Waterloo Indoor,Indoor DAS,Waterloo Station,London,Greater London,SE1 8SW,51.5031,-0.1132,4G/5G,250,0.2,Active,2023-09-15
49,Liverpool St Indoor,Indoor DAS,Liverpool Street Station,London,Greater London,EC2M 7QH,51.5178,-0.0823,4G/5G,200,0.2,Active,2023-10-01
50,Gatwick Airport,Macro Cell,South Terminal,Crawley,West Sussex,RH6 0NP,51.1481,-0.1903,5G,600,2.5,Active,2024-01-15
